munkamegosztás;die Arbeitsteilung
könyvelés;die Buchführung
cseléd;der Dienstbote, -n
egyenjogúsítás;die Emanzipation
siker;der Erfolg, -e 
felnőtt;r/e Erwachsene, -n
gyes/gyed;der Erziehungsurlaub, -s
énekszó;der Gesang, ä-e
bizonyosság;die Gewissheit, -en
nagypapa;der Grandpa
féltestvérek;die Halbgeschwister (PL)
háztartásbeli férfi;der Hausmann, ä-er
udvar;der Hof, die Höfe
gyermeknevelés;die Kinderziehung
puszi;das Küsschen, -
élettárs;der Lebensgefährte, -n
macskanadrág;die Leggings (PL)
éjszakai ügyelet;die Nachtwachte, -n
legkisebb gyerek;das Nesthäcken, -
folttechnika;das Patchwork -s
sulis tízórai;das Pausenbrot,  -e
perzsamacska;die Perserkatze, -n
szerepcsere;der Rolientausch, -e
válás;die Scheidung, -en
a tanítás vége;der Schulschluss
ritkaság;die Seltenheit, -en
családfa;der Stammbaum, ä-e
mostohatestvérek;die Stiefgeschwister (PL)
mostohaanya;die Stiefmutter, -
hang;die Stimme, -n
veszekedés;die Streiterei, -en
elválás;die Tennung, -en
vigasz;der Trast
kísérlet;der Versuch, -e
rokonsági viszony;das Verwandtschaftsverhältnis, -se
iskola-előkészítő;die Vorschule, -n
